filename,label,baseline_mean,baseline_std,global_noise_threshold,threshold_event,event_start_index,event_end_index,event_sample_count,mean_delta_raw,max_delta_raw,min_delta_raw,variance_delta_raw,std_delta_raw,range_delta_raw,duration_ms,mean_raw_original_event,max_raw_original_event,min_raw_original_event,range_raw_original_event
Percobaan 35 Motor.csv,motor,392978.9,18.360010893242958,1941.5969999999945,1941.5969999999945,8,15,8,101188.82499999998,260314.09999999998,304.9000000000233,9600982635.379374,97984.60407318782,260009.19999999995,749,494091.5,653293,392674,260619
Percobaan 97 Motor.csv,motor,389028.7,44.70581617642161,1941.5969999999945,1941.5969999999945,10,22,13,147190.0230769231,550700.3,438.70000000001164,44235213114.64332,210321.68959630225,550261.6000000001,1225,535096.8461538461,939729,387498,552231
Percobaan 45 Non Motor.csv,non_motor,387585.4,32.15338240372232,1941.5969999999945,1941.5969999999945,12,24,13,1016548.523076923,1642199.6,8278.599999999977,353125725683.76337,594243.8267948296,1633921.0,1201,1404133.923076923,2029785,395864,1633921
Percobaan 99 Motor.csv,motor,390702.2,49.168689223936,1941.5969999999945,1941.5969999999945,12,23,12,225212.46666666665,1159479.8,663.2000000000116,119887839621.45557,346248.2341059021,1158816.6,1125,614928.6666666666,1550182,389249,1160933
Percobaan 5 Motor.csv,motor,406321.2,21.59073875530895,1941.5969999999945,1941.5969999999945,9,20,12,178582.6,659865.8,208.79999999998836,52163389305.14669,228393.05879370918,659657.0,1149,573859.6666666666,1066187,378172,688015
Percobaan 25 Motor.csv,motor,401009.3,33.53222330833432,1941.5969999999945,1941.5969999999945,0,22,23,104716.3956521739,841065.7,350.70000000001164,45332377792.78563,212914.0150219934,840715.0,2225,499809.3043478261,1242075,390408,851667
Percobaan 71 Motor.csv,motor,388540.1,45.11418845551807,1941.5969999999945,1941.5969999999945,10,20,11,178687.28181818183,800584.9,73.09999999997672,58698654388.07603,242278.05180840468,800511.8,1025,567214.0909090909,1189125,388467,800658
Percobaan 90 Motor.csv,motor,391376.4,22.861321046693696,1941.5969999999945,1941.5969999999945,8,19,12,134550.58333333334,555658.6,1295.5999999999767,33453666513.53638,182903.43494187412,554363.0,1150,525121.25,947035,386542,560493
Percobaan 98 Motor.csv,motor,389074.6,19.069347130932407,1941.5969999999945,1941.5969999999945,12,25,14,192463.41428571427,1035820.4,417.5999999999767,101914015078.17407,319239.74545500136,1035402.8,1325,580958.0714285715,1424895,388085,1036810
Percobaan 2 Non Motor.csv,non_motor,370887.8,784.2820666061415,1941.5969999999945,2352.8461998184243,0,25,26,570676.2461538462,2408505.2,1080.7999999999884,840504438394.7489,916790.2913942473,2407424.4000000004,2525,937510.0,2779393,319266,2460127
Percobaan 36 Motor.csv,motor,392527.1,16.232375057273657,1941.5969999999945,1941.5969999999945,11,20,10,136302.0,399332.9,1133.9000000000233,24095494304.89,155227.2344174501,398199.0,925,528829.1,791860,393661,398199
Percobaan 23 Motor.csv,motor,396065.2,11.417530380953668,1941.5969999999945,1941.5969999999945,11,20,10,143086.52000000002,501687.8,2017.2000000000116,29796998986.0896,172618.07259406414,499670.6,924,536826.6,897753,390573,507180
Percobaan 32 Motor.csv,motor,392643.5,23.070543990118654,1941.5969999999945,1941.5969999999945,11,18,8,117425.25,310229.5,1438.5,12699486553.1875,112691.99862096466,308791.0,726,510068.75,702873,394082,308791
Percobaan 19 Motor.csv,motor,402198.4,27.059933481071234,1941.5969999999945,1941.5969999999945,8,17,10,197622.77999999997,602372.6,59.40000000002328,52656522558.8916,229470.0907719601,602313.2,951,599809.3,1004571,402139,602432
Percobaan 67 Motor.csv,motor,395792.2,95.05030247190169,1941.5969999999945,1941.5969999999945,10,19,10,233969.42,879086.8,457.20000000001164,78278326461.3636,279782.64145826414,878629.6000000001,926,629414.1,1274879,395085,879794
Percobaan 1 Non Motor.csv,non_motor,387355.3,32.89088019497198,1941.5969999999945,1941.5969999999945,0,21,22,724383.327272727,2314492.7,2385.2999999999884,901206657477.0922,949319.0493596408,2312107.4000000004,2125,1104767.2272727273,2701848,366813,2335035
Percobaan 76 Motor.csv,motor,390989.9,22.183101676726814,1941.5969999999945,1941.5969999999945,12,21,10,191415.0,794475.1,1068.0999999999767,59852088812.08999,244646.86552680374,793407.0,924,582404.9,1185465,392058,793407
Percobaan 34 Motor.csv,motor,392639.7,16.673631877908303,1941.5969999999945,1941.5969999999945,9,16,8,114088.79999999999,256400.3,1268.2999999999884,11798048150.0,108618.82042261369,255132.0,750,506728.5,649040,393908,255132
Percobaan 50 Non Motor.csv,non_motor,389143.0,22.41428116179504,1941.5969999999945,1941.5969999999945,13,25,13,1052901.076923077,1598441.0,37268.0,349947151220.6863,591563.3112530613,1561173.0,1200,1442044.076923077,1987584,426411,1561173
Percobaan 39 Motor.csv,motor,394869.1,29.743738836938437,1941.5969999999945,1941.5969999999945,9,16,8,141132.40000000002,370491.9,1246.9000000000233,18193191746.0,134882.14020395733,369245.0,750,536001.5,765361,396116,369245
Percobaan 37 Non Motor.csv,non_motor,386484.8,45.37356058322952,1941.5969999999945,1941.5969999999945,11,20,10,786575.9,1149578.2,4556.200000000012,170669084682.21002,413121.1501269452,1145022.0,901,1173060.7,1536063,391041,1145022
Percobaan 89 Motor.csv,motor,392861.4,29.261578904768623,1941.5969999999945,1941.5969999999945,10,18,9,131505.7111111111,375727.6,485.5999999999767,27897762150.09877,167026.23192211086,375242.0,826,524367.1111111111,768589,393347,375242
Percobaan 43 Non Motor.csv,non_motor,387205.0,20.12958022413781,1941.5969999999945,1941.5969999999945,12,31,20,645551.6,1613652.0,711.0,391808941523.7401,625946.4366251638,1612941.0,1900,950897.8,2000857,76953,1923904
Percobaan 94 Motor.csv,motor,388660.5,24.78406746278746,1941.5969999999945,1941.5969999999945,13,25,13,238167.57692307694,959852.5,353.5,113858314695.30176,337428.9772608478,959499.0,1225,626359.6153846154,1348513,387639,960874
Percobaan 14 Non Motor.csv,non_motor,383846.8,52.946765718030406,1941.5969999999945,1941.5969999999945,5,25,21,1054370.657142857,2300272.2,1510.2000000000116,978727793550.6559,989306.723696274,2298762.0,2025,1437773.1904761905,2684119,379182,2304937
Percobaan 69 Motor.csv,motor,397494.5,22.822138374832452,1941.5969999999945,1941.5969999999945,10,21,12,250814.08333333334,1007108.5,274.5,107442256365.24306,327783.8561693407,1006834.0,1125,647743.25,1404603,395877,1008726
Percobaan 9 Motor.csv,motor,407457.0,21.52208168370337,1941.5969999999945,1941.5969999999945,9,21,13,196880.61538461538,703722.0,1169.0,79986545829.6213,282818.9276367855,702553.0,1249,602853.6153846154,1111179,404820,706359
Percobaan 68 Motor.csv,motor,397418.3,20.214103987068036,1941.5969999999945,1941.5969999999945,11,19,9,311460.36666666664,1096499.7,773.7000000000116,121171776976.2222,348097.3670917696,1095726.0,824,708878.6666666666,1493918,398192,1095726
Percobaan 23 Non Motor.csv,non_motor,326902.4,1637.0803401177354,1941.5969999999945,4911.241020353206,0,23,24,314169.1666666667,1107262.6,9242.400000000023,160321582520.43225,400401.7763702257,1098020.2000000002,2325,560096.8333333334,1434165,-101314,1535479
Percobaan 64 Motor.csv,motor,390078.7,23.92091135387613,1941.5969999999945,1941.5969999999945,11,19,9,112254.61111111111,305370.3,300.70000000001164,13703664427.138763,117062.65171752588,305069.6,825,501792.1111111111,695449,387944,307505
Percobaan 7 Motor.csv,motor,406047.9,16.80743882928033,1941.5969999999945,1941.5969999999945,8,19,12,173142.5,612977.1,4271.099999999977,50594728521.42667,224932.7199885038,608706.0,1149,574285.0833333334,1019025,376616,642409
Percobaan 16 Non Motor.csv,non_motor,384761.8,196.029997704433,1941.5969999999945,1941.5969999999945,7,25,19,1222078.5684210528,2678307.2,1244.2000000000116,1253431065208.233,1119567.3562623344,2677063.0,1825,1606840.3684210526,3063069,386006,2677063
Percobaan 41 Motor.csv,motor,384334.9,77.16534196127171,1941.5969999999945,1941.5969999999945,0,16,17,39722.51176470586,217613.09999999998,6451.099999999977,4096292449.889273,64002.28472397898,211162.0,1651,424057.4117647059,601948,390786,211162
Percobaan 17 Motor.csv,motor,407506.6,59.08840833869195,1941.5969999999945,1941.5969999999945,0,17,18,80984.67777777776,439752.4,901.4000000000233,20081623173.245068,141709.643896402,438851.0,1751,486086.6111111111,847259,404618,442641
Percobaan 77 Motor.csv,motor,390981.4,32.22483514310042,1941.5969999999945,1941.5969999999945,10,20,11,200960.38181818184,724143.6,286.4000000000233,67193946063.70511,259217.95089018258,723857.2,1026,591636.7272727273,1115125,389590,725535
Percobaan 20 Non Motor.csv,non_motor,373081.7,457.11662625636353,1941.5969999999945,1941.5969999999945,6,29,24,949041.983333333,2609962.3,1637.2999999999884,1263788684871.89,1124183.5636905078,2608325.0,2325,1321053.2916666667,2983044,360237,2622807
Percobaan 37 Motor.csv,motor,393229.0,20.938003725283842,1941.5969999999945,1941.5969999999945,8,16,9,105457.88888888889,275318.0,1703.0,11785203111.209877,108559.67534591228,273615.0,850,498686.8888888889,668547,394932,273615
Percobaan 30 Non Motor.csv,non_motor,385998.2,36.454903648206226,1941.5969999999945,1941.5969999999945,10,22,13,286112.52307692316,854716.2,3270.2000000000116,58823201720.55101,242534.9494826488,851446.0,1201,134407.92307692306,597707,-468718,1066425
Percobaan 18 Motor.csv,motor,409060.9,70.86388360794234,1941.5969999999945,1941.5969999999945,0,22,23,83786.69130434783,597952.1,2267.9000000000233,32204959871.39296,179457.40405843654,595684.2,2226,483987.2173913043,1007013,402266,604747
Percobaan 46 Non Motor.csv,non_motor,388001.4,52.39885494932117,1941.5969999999945,1941.5969999999945,17,31,15,1038220.8666666666,1575821.6,3670.5999999999767,340031986568.8623,583122.6170959778,1572151.0,1399,1426222.2666666666,1963823,391672,1572151
Percobaan 60 Motor.csv,motor,420632.2,9.744742172063866,1941.5969999999945,1941.5969999999945,0,21,22,62238.790909090916,344604.8,6974.200000000012,8234624534.205371,90744.8319972293,337630.6,2125,449148.5,765237,394149,371088
Percobaan 16 Motor.csv,motor,406908.5,20.94874697923482,1941.5969999999945,1941.5969999999945,10,17,8,39573.25,88185.5,363.5,1432059658.9375,37842.564116844675,87822.0,728,446390.875,495094,406545,88549
Percobaan 15 Non Motor.csv,non_motor,385369.3,151.8420560977755,1941.5969999999945,1941.5969999999945,10,21,12,1476004.2833333332,2495035.7,2302.7000000000116,915431535008.2433,956781.8638583422,2492733.0,1101,1861373.5833333333,2880405,387672,2492733
Percobaan 4 Motor.csv,motor,405368.7,26.672270244581732,1941.5969999999945,1941.5969999999945,8,25,18,236985.85555555558,1587818.3,209.29999999998836,177075134145.6913,420802.9635657184,1587609.0,1750,642354.5555555555,1993187,405578,1587609
Percobaan 70 Motor.csv,motor,397979.2,38.925056197775746,1941.5969999999945,1941.5969999999945,10,19,10,263178.31999999995,1047522.8,323.79999999998836,101685924119.3776,318882.30449395836,1047199.0,925,586625.6,1445502,62542,1382960
Percobaan 21 Non Motor.csv,non_motor,383831.6,57.37281586256683,1941.5969999999945,1941.5969999999945,2,18,17,267893.4235294118,1002099.4,2944.4000000000233,84219781517.81592,290206.4463753621,999155.0,1625,602373.3529411765,1385931,84132,1301799
Percobaan 11 Motor.csv,motor,395911.7,22.605530296810116,1941.5969999999945,1941.5969999999945,10,23,14,227945.6285714286,1103425.3,139.29999999998836,113208025671.32347,336464.003529833,1103286.0,1300,621629.3571428572,1499337,388472,1110865
Percobaan 10 Non Motor.csv,non_motor,392704.0,23.490423580684958,1941.5969999999945,1941.5969999999945,0,23,24,680177.6666666666,2210253.0,284.0,875452691208.0555,935656.2890335615,2209969.0,2325,1057504.5833333333,2602957,342659,2260298
Percobaan 59 Motor.csv,motor,395428.9,30.585781010136063,1941.5969999999945,1941.5969999999945,0,18,19,121746.41578947369,792190.1,1554.0999999999767,41342301703.05817,203328.06422886677,790636.0,1850,517175.3157894737,1187619,396983,790636
Percobaan 79 Motor.csv,motor,392675.4,34.8,1941.5969999999945,1941.5969999999945,9,20,12,151774.5166666667,843854.6,534.5999999999767,62241276459.07641,249482.01630393404,843320.0,1150,542924.9166666666,1236530,390087,846443
Percobaan 96 Motor.csv,motor,387491.2,38.70865536285134,1941.5969999999945,1941.5969999999945,12,26,15,242309.72,1109562.8,83.20000000001164,124966777318.81496,353506.4035046819,1109479.6,1425,629778.2,1497054,387404,1109650
Percobaan 33 Motor.csv,motor,393483.6,31.66133288413487,1941.5969999999945,1941.5969999999945,8,15,8,94721.65000000002,224972.40000000002,647.4000000000233,8061897320.1875,89788.06891891317,224325.0,749,488205.25,618456,394131,224325
Percobaan 11 Non Motor.csv,non_motor,415282.3,27.882073093656434,1941.5969999999945,1941.5969999999945,0,32,33,552995.6757575758,2291115.7,25518.29999999999,346800868520.2999,588898.0119853521,2265597.4000000004,3225,649828.0606060605,2706398,54973,2651425
Percobaan 10 Mortor.csv,motor,405674.7,37.1484858372451,1941.5969999999945,1941.5969999999945,9,19,11,214451.17272727273,680489.3,749.2999999999884,70206645399.84198,264965.3664157676,679740.0,1049,605136.2727272727,1086164,348599,737565
Percobaan 63 Motor.csv,motor,388767.4,30.15692291995322,1941.5969999999945,1941.5969999999945,9,18,10,128486.2,384123.6,118.59999999997672,23668174234.239998,153844.64317694,384005.0,950,517253.6,772891,388886,384005
Percobaan 25 Non Motor.csv,non_motor,382338.1,32.22561093292104,1941.5969999999945,1941.5969999999945,10,25,16,480713.37499999994,1128363.9,4332.900000000023,225307074663.01932,474665.2237767365,1124031.0,1500,853494.4375,1510702,323165,1187537
Percobaan 19 Non Motor.csv,non_motor,384587.2,92.00195650093536,1941.5969999999945,1941.5969999999945,0,26,27,822715.7037037036,2563083.8,759.2000000000116,1126736868796.241,1061478.6238056049,2562324.5999999996,2600,1198159.7037037036,2947671,342958,2604713
Percobaan 13 Non Motor.csv,non_motor,375662.1,1817.3074285876894,1941.5969999999945,5451.922285763068,0,34,35,720761.0942857144,2589213.9,2431.0999999999767,943633484678.8354,971407.9908456773,2586782.8,3426,1035113.3142857143,2964876,92541,2872335
Percobaan 58 Motor.csv,motor,395445.1,33.548323356018855,1941.5969999999945,1941.5969999999945,13,23,11,203624.91818181818,981972.9,107.09999999997672,86212891164.43968,293620.31803749496,981865.8,1023,599050.5454545454,1377418,395338,982080
Percobaan 27 Non Motor.csv,non_motor,384648.0,342.8518630545851,1941.5969999999945,1941.5969999999945,9,24,16,465009.75,1289341.0,19.0,278215658014.9375,527461.5227814608,1289322.0,1525,848792.875,1673989,381273,1292716
Percobaan 66 Motor.csv,motor,391906.4,65.04798228999881,1941.5969999999945,1941.5969999999945,12,22,11,191924.78181818183,956245.6,192.59999999997672,90254445030.3306,300423.77574075357,956053.0,1025,583831.1818181818,1348152,392099,956053
Percobaan 44 Non Motor.csv,non_motor,387199.9,38.61981356764944,1941.5969999999945,1941.5969999999945,14,25,12,1004291.6833333332,1609168.1,55453.09999999998,356337826371.4098,596940.3876195761,1553715.0,1100,1391491.5833333333,1996368,442653,1553715
