TIME;CH1;CH2;CH3;CH4;CH5
9:25:22,80;621293;383421;-1;-1;non motor
9:25:22,70;621193;383423;-1;-1;non motor
9:25:22,60;621093;383543;-1;-1;non motor
9:25:22,50;620993;383567;-1;-1;non motor
9:25:22,40;620893;383491;-1;-1;non motor
9:25:22,30;620793;383518;-1;-1;non motor
9:25:22,20;620693;383486;-1;-1;non motor
9:25:22,10;620593;383432;-1;-1;non motor
9:25:22,00;620493;383474;-1;-1;non motor
9:25:21,90;620393;383692;-1;-1;non motor
9:25:21,78;620268;383628;-1;58,04;non motor
9:25:21,70;620193;393502;-1;-1;non motor
9:25:21,58;620068;664093;-1;56,77;non motor
9:25:21,48;619968;1595762;-1;57,59;non motor
9:25:21,38;619868;2541335;-1;56,77;non motor
9:25:21,28;619768;2745480;-1;50,22;non motor
9:25:21,18;619668;2472650;-1;51,9;non motor
9:25:21,08;619568;2521765;-1;47,09;non motor
9:25:20,98;619468;2646345;-1;48,69;non motor
9:25:20,88;619368;2713959;-1;49,86;non motor
9:25:20,75;619244;2850365;67,26;52,07;non motor
9:25:20,68;619168;2964876;-1;49,86;non motor
9:25:20,58;619068;2476469;51,52;-1;non motor
9:25:20,50;618993;1767801;-1;-1;non motor
9:25:20,38;618867;935309;39,87;-1;non motor
9:25:20,27;618767;328129;40,34;-1;non motor
9:25:20,18;618667;373231;40,08;-1;non motor
9:25:20,07;618567;412544;37,8;-1;non motor
9:25:19,98;618467;117527;39,86;-1;non motor
9:25:19,88;618368;266194;56,85;-1;non motor
9:25:19,77;618267;92541;36,67;-1;non motor
9:25:19,68;618167;200461;43,65;-1;non motor
9:25:19,58;618067;263654;37,34;-1;non motor
9:25:19,48;617967;303916;42,39;-1;non motor
9:25:19,37;617867;362383;42,84;-1;non motor
9:25:19,28;617767;371215;44,06;-1;non motor
9:25:19,20;617693;373843;-1;-1;non motor
9:25:19,10;617593;372884;-1;-1;non motor
9:25:19,00;617493;372715;-1;-1;non motor
9:25:18,90;617393;375543;-1;-1;non motor
9:25:18,80;617293;377518;-1;-1;non motor
9:25:18,70;617193;375858;-1;-1;non motor
9:25:18,60;617093;376336;-1;-1;non motor
9:25:18,50;616993;377714;-1;-1;non motor
9:25:18,40;616893;377808;-1;-1;non motor
9:25:18,30;616793;376402;-1;-1;non motor
