TIME;CH1;CH2;CH3;CH4;CH5
9:33:04,20;149893;386976;-1;-1;non motor
9:33:04,10;149793;386983;-1;-1;non motor
9:33:04,00;149693;386998;-1;-1;non motor
9:33:03,90;149593;386900;-1;-1;non motor
9:33:03,80;149493;386888;-1;-1;non motor
9:33:03,70;149393;386942;-1;-1;non motor
9:33:03,60;149293;386947;-1;-1;non motor
9:33:03,50;149193;386915;-1;-1;non motor
9:33:03,40;149093;386946;-1;-1;non motor
9:33:03,30;148993;387211;-1;-1;non motor
9:33:03,18;148869;382728;65,99;-1;non motor
9:33:03,08;148768;371356;62,48;-1;non motor
9:33:02,97;148668;398684;62,2;-1;non motor
9:33:02,87;148568;597707;50,68;-1;non motor
9:33:02,78;148467;319400;43,27;-1;non motor
9:33:02,68;148367;-29944;42,86;-1;non motor
9:33:02,58;148268;48977;48,65;-1;non motor
9:33:02,45;148144;67218;56,58;60,71;non motor
9:33:02,38;148068;-16698;61,48;-1;non motor
9:33:02,27;147968;-21687;62,05;-1;non motor
9:33:02,18;147868;-180179;-1;56,65;non motor
9:33:02,08;147768;-468718;-1;56,65;non motor
9:33:01,97;147668;278459;-1;53,27;non motor
9:33:01,88;147568;386002;-1;56,8;non motor
9:33:01,80;147493;386190;-1;-1;non motor
9:33:01,68;147368;386149;-1;56,65;non motor
9:33:01,58;147268;386150;-1;51,23;non motor
9:33:01,46;147155;386148;252,09;56,9;non motor
9:33:01,39;147079;386109;239,84;-1;non motor
9:33:01,27;146965;386140;237,46;249,69;non motor
9:33:01,19;146879;386105;244,37;-1;non motor
9:33:01,09;146779;386064;242,66;-1;non motor
9:33:00,99;146680;386064;268,74;-1;non motor
9:33:00,90;146593;386051;-1;-1;non motor
9:33:00,80;146493;385996;-1;-1;non motor
9:33:00,70;146393;386016;-1;-1;non motor
9:33:00,60;146293;386020;-1;-1;non motor
9:33:00,50;146193;386026;-1;-1;non motor
9:33:00,40;146093;386018;-1;-1;non motor
9:33:00,30;145993;386016;-1;-1;non motor
9:33:00,20;145893;385944;-1;-1;non motor
9:33:00,10;145793;385956;-1;-1;non motor
9:33:00,00;145693;385939;-1;-1;non motor
