TIME;CH1;CH2;CH3;CH4;CH5
9:32:35,10;120793;346189;-1;-1;non motor
9:32:35,00;120693;363608;-1;-1;non motor
9:32:34,90;120593;363892;-1;-1;non motor
9:32:34,80;120493;342228;-1;-1;non motor
9:32:34,70;120393;342873;-1;-1;non motor
9:32:34,60;120293;281534;-1;-1;non motor
9:32:34,50;120193;304215;-1;-1;non motor
9:32:34,40;120093;317660;-1;-1;non motor
9:32:34,30;119993;265718;-1;-1;non motor
9:32:34,20;119893;127288;-1;-1;non motor
9:32:34,08;119769;351818;-1;66,61;non motor
9:32:33,98;119668;898627;-1;60,03;non motor
9:32:33,88;119568;1409144;-1;58,19;non motor
9:32:33,78;119468;1321527;-1;57,2;non motor
9:32:33,68;119368;1271547;-1;54,64;non motor
9:32:33,58;119268;1377041;-1;54,13;non motor
9:32:33,48;119168;1434165;-1;49,87;non motor
9:32:33,40;119093;798155;-1;-1;non motor
9:32:33,28;118968;-101314;53,56;-1;non motor
9:32:33,18;118867;121519;43,85;-1;non motor
9:32:33,07;118767;366870;43,85;-1;non motor
9:32:32,98;118667;384570;46,46;-1;non motor
9:32:32,88;118568;381147;47,66;-1;non motor
9:32:32,78;118468;372303;50,16;-1;non motor
9:32:32,68;118368;327810;56,73;-1;non motor
9:32:32,58;118268;323039;56,7;-1;non motor
9:32:32,48;118168;328189;59,1;-1;non motor
9:32:32,40;118093;328071;-1;-1;non motor
9:32:32,30;117993;327394;-1;-1;non motor
9:32:32,20;117893;325541;-1;-1;non motor
9:32:32,10;117793;325556;-1;-1;non motor
9:32:32,00;117693;324174;-1;-1;non motor
9:32:31,90;117593;325377;-1;-1;non motor
9:32:31,80;117493;326382;-1;-1;non motor
9:32:31,70;117393;328693;-1;-1;non motor
9:32:31,60;117293;329195;-1;-1;non motor
9:32:31,50;117193;328641;-1;-1;non motor
