TIME;CH1;CH2;CH3;CH4;CH5
9:38:36,00;481693;389316;-1;-1;non motor
9:38:35,90;481593;389283;-1;-1;non motor
9:38:35,80;481493;389326;-1;-1;non motor
9:38:35,70;481393;389365;-1;-1;non motor
9:38:35,60;481293;389359;-1;-1;non motor
9:38:35,50;481193;389323;-1;-1;non motor
9:38:35,40;481093;389271;-1;-1;non motor
9:38:35,30;480993;389244;-1;-1;non motor
9:38:35,20;480893;389242;-1;-1;non motor
9:38:35,10;480793;389210;-1;-1;non motor
9:38:34,97;480669;389138;70,3;-1;non motor
9:38:34,87;480569;389104;64,86;-1;non motor
9:38:34,77;480469;389985;64,3;-1;non motor
9:38:34,67;480368;449432;52,7;-1;non motor
9:38:34,57;480268;894707;48,86;-1;non motor
9:38:34,47;480168;1606352;49,8;-1;non motor
9:38:34,37;480068;1947241;50,66;-1;non motor
9:38:34,27;479968;1973495;52,2;-1;non motor
9:38:34,17;479868;1954178;55,94;-1;non motor
9:38:34,07;479768;1952696;62,48;-1;non motor
9:38:33,97;479669;1914918;64,59;-1;non motor
9:38:33,87;479569;1987584;69,51;-1;non motor
9:38:33,80;479493;1693186;-1;-1;non motor
9:38:33,70;479393;1219446;-1;-1;non motor
9:38:33,57;479268;726927;-1;58,04;non motor
9:38:33,47;479168;426411;-1;56,78;non motor
9:38:33,37;479068;389343;-1;54,3;non motor
9:38:33,27;478968;389233;-1;56,78;non motor
9:38:33,17;478868;389205;-1;52,92;non motor
9:38:33,07;478768;389183;-1;52,41;non motor
9:38:33,00;478693;389175;-1;-1;non motor
9:38:32,87;478568;389190;-1;51,59;non motor
9:38:32,80;478493;389156;-1;-1;non motor
9:38:32,70;478393;389158;-1;-1;non motor
9:38:32,60;478293;389177;-1;-1;non motor
9:38:32,50;478193;389161;-1;-1;non motor
9:38:32,40;478093;389147;-1;-1;non motor
9:38:32,30;477993;389152;-1;-1;non motor
9:38:32,20;477893;389137;-1;-1;non motor
9:38:32,10;477793;389132;-1;-1;non motor
9:38:32,00;477693;389103;-1;-1;non motor
9:38:31,90;477593;389107;-1;-1;non motor
