TIME;CH1;CH2;CH3;CH4;CH5
9:18:40,11;218593;391814;-1;-1;non motor
9:18:40,01;218493;391867;-1;-1;non motor
9:18:39,91;218393;391809;-1;-1;non motor
9:18:39,80;218293;391776;-1;-1;non motor
9:18:39,71;218193;391790;-1;-1;non motor
9:18:39,60;218093;391803;-1;-1;non motor
9:18:39,51;217993;391841;-1;-1;non motor
9:18:39,41;217893;391859;-1;-1;non motor
9:18:39,31;217793;391806;-1;-1;non motor
9:18:39,21;217693;392387;-1;-1;non motor
9:18:39,08;217569;391591;-1;67,04;non motor
9:18:38,98;217468;390049;-1;61,12;non motor
9:18:38,88;217368;485470;-1;59,18;non motor
9:18:38,78;217268;2024212;-1;56,78;non motor
9:18:38,68;217168;2220409;-1;57,21;non motor
9:18:38,58;217068;2202834;-1;56,17;non motor
9:18:38,48;216968;2219148;-1;53,44;non motor
9:18:38,36;216845;2331677;77,84;53,46;non motor
9:18:38,26;216745;2523276;77,93;52,27;non motor
9:18:38,18;216668;2381252;-1;56,63;non motor
9:18:38,08;216568;1340181;56,75;-1;non motor
9:18:37,98;216468;374542;51,02;-1;non motor
9:18:37,88;216368;147551;53,23;-1;non motor
9:18:37,78;216268;297240;53,92;-1;non motor
9:18:37,68;216168;426341;54,07;-1;non motor
9:18:37,58;216068;346517;53,92;-1;non motor
9:18:37,48;215968;350167;56,3;-1;non motor
9:18:37,38;215868;390374;57,16;-1;non motor
9:18:37,28;215769;391452;64,19;-1;non motor
9:18:37,18;215668;391501;63,33;-1;non motor
9:18:37,08;215569;391506;64,6;-1;non motor
9:18:37,01;215493;391524;-1;-1;non motor
9:18:36,90;215393;391453;-1;-1;non motor
9:18:36,81;215293;391468;-1;-1;non motor
9:18:36,71;215193;391473;-1;-1;non motor
9:18:36,61;215093;391502;-1;-1;non motor
9:18:36,51;214993;391494;-1;-1;non motor
9:18:36,41;214893;391504;-1;-1;non motor
9:18:36,31;214793;391517;-1;-1;non motor
9:18:36,20;214693;391521;-1;-1;non motor
9:18:36,11;214593;391464;-1;-1;non motor
