TIME;CH1;CH2;CH3;CH4;CH5
9:38:26,10;471793;388962;-1;-1;non motor
9:38:26,00;471693;388911;-1;-1;non motor
9:38:25,90;471593;388929;-1;-1;non motor
9:38:25,80;471493;388904;-1;-1;non motor
9:38:25,70;471393;388888;-1;-1;non motor
9:38:25,60;471293;388888;-1;-1;non motor
9:38:25,50;471193;388861;-1;-1;non motor
9:38:25,40;471093;388818;-1;-1;non motor
9:38:25,30;470993;388782;-1;-1;non motor
9:38:25,20;470893;388754;-1;-1;non motor
9:38:25,07;470769;388757;64,72;-1;non motor
9:38:24,97;470668;388716;63,75;-1;non motor
9:38:24,87;470568;388611;62,07;-1;non motor
9:38:24,77;470468;389325;56,85;-1;non motor
9:38:24,67;470368;443345;49,82;-1;non motor
9:38:24,57;470267;870931;43,85;-1;non motor
9:38:24,47;470169;1601702;64,28;-1;non motor
9:38:24,37;470067;1974840;46,67;-1;non motor
9:38:24,27;469968;1939683;56,85;-1;non motor
9:38:24,17;469868;1944276;61,35;-1;non motor
9:38:24,07;469768;1939141;61,64;-1;non motor
9:38:23,97;469668;1969084;62,89;-1;non motor
9:38:23,85;469544;2037768;66,13;59,58;non motor
9:38:23,77;469468;1843899;-1;56,65;non motor
9:38:23,67;469368;1351210;-1;56,78;non motor
9:38:23,57;469268;793773;-1;56,65;non motor
9:38:23,47;469168;440026;-1;54,11;non motor
9:38:23,37;469068;389099;-1;53,1;non motor
9:38:23,27;468968;388726;-1;54,64;non motor
9:38:23,17;468868;388725;-1;56,17;non motor
9:38:23,07;468768;388755;-1;54,3;non motor
9:38:22,97;468668;388724;-1;53,1;non motor
9:38:22,87;468568;388686;-1;54,3;non motor
9:38:22,77;468468;388586;-1;56,49;non motor
9:38:22,69;468393;388560;-1;-1;non motor
9:38:22,60;468293;388589;-1;-1;non motor
9:38:22,50;468193;388524;-1;-1;non motor
9:38:22,40;468093;388506;-1;-1;non motor
9:38:22,30;467993;388517;-1;-1;non motor
9:38:22,20;467893;388539;-1;-1;non motor
9:38:22,10;467793;388540;-1;-1;non motor
9:38:22,00;467693;388506;-1;-1;non motor
9:38:21,90;467593;388532;-1;-1;non motor
9:38:21,80;467493;388512;-1;-1;non motor
