TIME;CH1;CH2;CH3;CH4;CH5
9:26:04,50;662993;374398;-1;-1;non motor
9:26:04,40;662893;375230;-1;-1;non motor
9:26:04,30;662793;375582;-1;-1;non motor
9:26:04,20;662693;374548;-1;-1;non motor
9:26:04,10;662593;377737;-1;-1;non motor
9:26:04,00;662493;383828;-1;-1;non motor
9:26:03,90;662393;379992;-1;-1;non motor
9:26:03,80;662293;377584;-1;-1;non motor
9:26:03,70;662193;379311;-1;-1;non motor
9:26:03,60;662093;1586959;-1;-1;non motor
9:26:03,48;661968;2509325;-1;56,78;non motor
9:26:03,38;661868;2856599;-1;49,68;non motor
9:26:03,28;661768;2854609;-1;56,65;non motor
9:26:03,18;661668;2833817;-1;61,28;non motor
9:26:03,08;661568;2857189;-1;62,82;non motor
9:26:02,98;661469;2947671;-1;65,34;non motor
9:26:02,88;661369;2816602;-1;69,92;non motor
9:26:02,75;661246;2353428;72,27;76,35;non motor
9:26:02,68;661168;1730427;63,61;-1;non motor
9:26:02,58;661068;869414;56,89;-1;non motor
9:26:02,47;660968;414697;50,68;-1;non motor
9:26:02,37;660868;387665;49,82;-1;non motor
9:26:02,27;660768;389899;57,57;-1;non motor
9:26:02,17;660668;409805;49,82;-1;non motor
9:26:02,07;660567;425180;44,66;-1;non motor
9:26:01,97;660467;342958;38,95;-1;non motor
9:26:01,90;660393;365858;-1;-1;non motor
9:26:01,77;660268;384408;57,45;-1;non motor
9:26:01,68;660168;384591;63,46;-1;non motor
9:26:01,60;660093;384711;-1;-1;non motor
9:26:01,50;659993;384733;-1;-1;non motor
9:26:01,40;659893;384693;-1;-1;non motor
9:26:01,30;659793;384594;-1;-1;non motor
9:26:01,20;659693;384523;-1;-1;non motor
9:26:01,10;659593;384549;-1;-1;non motor
9:26:01,00;659493;384584;-1;-1;non motor
9:26:00,90;659393;384534;-1;-1;non motor
9:26:00,80;659293;384434;-1;-1;non motor
9:26:00,70;659193;384517;-1;-1;non motor
