TIME;CH1;CH2;CH3;CH4;CH5
9:32:52,20;137893;385128;-1;-1;non motor
9:32:52,10;137793;385195;-1;-1;non motor
9:32:52,00;137693;385148;-1;-1;non motor
9:32:51,90;137593;385064;-1;-1;non motor
9:32:51,80;137493;384909;-1;-1;non motor
9:32:51,70;137393;385077;-1;-1;non motor
9:32:51,60;137293;385229;-1;-1;non motor
9:32:51,50;137193;385190;-1;-1;non motor
9:32:51,40;137093;385169;-1;-1;non motor
9:32:51,30;136993;396634;-1;-1;non motor
9:32:51,18;136869;656495;-1;73,69;non motor
9:32:51,08;136768;1431705;-1;55,14;non motor
9:32:50,98;136668;1673989;-1;48,11;non motor
9:32:50,88;136568;1423684;-1;50,88;non motor
9:32:50,78;136468;1428264;-1;53,11;non motor
9:32:50,68;136368;1561996;-1;56,77;non motor
9:32:50,58;136269;1573804;-1;69,92;non motor
9:32:50,45;136146;714315;74,84;74,31;non motor
9:32:50,35;136045;411274;66,97;63,52;non motor
9:32:50,28;135968;384629;63,16;-1;non motor
9:32:50,18;135868;383426;56,87;-1;non motor
9:32:50,08;135768;385590;56,58;-1;non motor
9:32:49,98;135668;391263;49,98;-1;non motor
9:32:49,87;135567;381273;42,86;-1;non motor
9:32:49,78;135468;382345;50,16;-1;non motor
9:32:49,68;135369;384631;65,27;-1;non motor
9:32:49,58;135269;384947;70,83;-1;non motor
9:32:49,50;135193;385065;-1;-1;non motor
9:32:49,40;135093;385022;-1;-1;non motor
9:32:49,30;134993;384938;-1;-1;non motor
9:32:49,20;134893;384885;-1;-1;non motor
9:32:49,10;134793;384745;-1;-1;non motor
9:32:49,00;134693;384665;-1;-1;non motor
9:32:48,90;134593;384474;-1;-1;non motor
9:32:48,80;134493;384345;-1;-1;non motor
9:32:48,70;134393;384429;-1;-1;non motor
9:32:48,60;134293;383912;-1;-1;non motor
