TIME;CH1;CH2;CH3;CH4;CH5
9:25:30,90;629393;384433;-1;-1;non motor
9:25:30,80;629293;384610;-1;-1;non motor
9:25:30,70;629193;384278;-1;-1;non motor
9:25:30,60;629093;383984;-1;-1;non motor
9:25:30,50;628993;384920;-1;-1;non motor
9:25:30,40;628893;379182;-1;-1;non motor
9:25:30,30;628793;405450;-1;-1;non motor
9:25:30,20;628693;488613;-1;-1;non motor
9:25:30,10;628593;435311;-1;-1;non motor
9:25:30,00;628493;385627;-1;-1;non motor
9:25:29,88;628369;385357;69,34;-1;non motor
9:25:29,80;628293;385515;-1;-1;non motor
9:25:29,70;628193;388312;-1;-1;non motor
9:25:29,58;628068;466466;61,77;-1;non motor
9:25:29,50;627993;896095;-1;-1;non motor
9:25:29,37;627867;1793271;46,67;-1;non motor
9:25:29,28;627767;2618394;44,26;-1;non motor
9:25:29,18;627668;2684119;58,55;-1;non motor
9:25:29,08;627568;2522937;56,73;-1;non motor
9:25:28,98;627468;2451353;59,66;-1;non motor
9:25:28,88;627368;2492354;58,4;-1;non motor
9:25:28,78;627269;2549892;64,45;-1;non motor
9:25:28,70;627193;2671013;-1;-1;non motor
9:25:28,58;627069;2606103;-1;68,45;non motor
9:25:28,48;626968;1953524;-1;56,77;non motor
9:25:28,38;626868;1234349;-1;56,63;non motor
9:25:28,28;626768;385049;-1;52,92;non motor
9:25:28,18;626669;383870;-1;64,07;non motor
9:25:28,07;626568;383962;-1;49,1;non motor
9:25:27,98;626468;383908;-1;50,2;non motor
9:25:27,88;626369;383907;-1;65,75;non motor
9:25:27,78;626268;383823;-1;49,1;non motor
9:25:27,70;626193;383818;-1;-1;non motor
9:25:27,60;626093;383833;-1;-1;non motor
9:25:27,50;625993;383944;-1;-1;non motor
9:25:27,38;625869;383928;-1;72,06;non motor
9:25:27,30;625793;383844;-1;-1;non motor
9:25:27,20;625693;383868;-1;-1;non motor
9:25:27,10;625593;383844;-1;-1;non motor
9:25:27,00;625493;383813;-1;-1;non motor
9:25:26,90;625393;383753;-1;-1;non motor
9:25:26,80;625293;383823;-1;-1;non motor
