TIME;CH1;CH2;CH3;CH4;CH5
9:18:27,71;206193;390160;-1;-1;non motor
9:18:27,61;206093;390228;-1;-1;non motor
9:18:27,51;205993;390130;-1;-1;non motor
9:18:27,40;205893;390102;-1;-1;non motor
9:18:27,31;205793;390045;-1;-1;non motor
9:18:27,21;205693;390044;-1;-1;non motor
9:18:27,11;205593;390045;-1;-1;non motor
9:18:27,01;205493;390054;-1;-1;non motor
9:18:26,91;205393;390035;-1;-1;non motor
9:18:26,81;205293;389929;-1;-1;non motor
9:18:26,68;205168;389708;-1;62;non motor
9:18:26,58;205068;389478;-1;56,94;non motor
9:18:26,48;204968;405324;-1;56,66;non motor
9:18:26,38;204868;755491;-1;56,8;non motor
9:18:26,28;204768;1763145;-1;50,04;non motor
9:18:26,18;204668;2267264;-1;51,93;non motor
9:18:26,08;204568;2335839;-1;51,07;non motor
9:18:25,98;204468;2446956;-1;50,4;non motor
9:18:25,88;204368;2502646;-1;49,72;non motor
9:18:25,76;204244;2571201;72,84;50,56;non motor
9:18:25,71;204193;2175958;-1;-1;non motor
9:18:25,58;204068;959414;52,05;-1;non motor
9:18:25,48;203968;406347;56,75;-1;non motor
9:18:25,38;203868;388957;49,67;-1;non motor
9:18:25,28;203768;388737;49,07;-1;non motor
9:18:25,18;203668;395282;49,82;-1;non motor
9:18:25,08;203568;391454;49,07;-1;non motor
9:18:24,98;203468;378995;50,16;-1;non motor
9:18:24,88;203368;375295;51,36;-1;non motor
9:18:24,78;203268;386693;55,79;-1;non motor
9:18:24,68;203168;389157;55,79;-1;non motor
9:18:24,58;203068;389008;54,93;-1;non motor
9:18:24,48;202968;388993;56,61;-1;non motor
9:18:24,41;202893;388349;-1;-1;non motor
9:18:24,31;202793;387902;-1;-1;non motor
9:18:24,21;202693;387627;-1;-1;non motor
9:18:24,11;202593;387444;-1;-1;non motor
9:18:24,01;202493;387416;-1;-1;non motor
9:18:23,91;202393;387538;-1;-1;non motor
9:18:23,80;202293;387442;-1;-1;non motor
9:18:23,71;202193;387064;-1;-1;non motor
9:18:23,61;202093;387027;-1;-1;non motor
9:18:23,51;201993;386974;-1;-1;non motor
