TIME;CH1;CH2;CH3;CH4;CH5
9:25:08,90;607393;67326;-1;-1;non motor
9:25:08,80;607293;68737;-1;-1;non motor
9:25:08,70;607193;72071;-1;-1;non motor
9:25:08,60;607093;66059;-1;-1;non motor
9:25:08,50;606993;61284;-1;-1;non motor
9:25:08,40;606893;72718;-1;-1;non motor
9:25:08,30;606793;75188;-1;-1;non motor
9:25:08,20;606693;64229;-1;-1;non motor
9:25:08,10;606593;58711;-1;-1;non motor
9:25:08,00;606493;54973;-1;-1;non motor
9:25:07,88;606369;57119;-1;73,93;non motor
9:25:07,78;606269;150478;-1;72,58;non motor
9:25:07,68;606168;243670;-1;56,9;non motor
9:25:07,58;606068;1081094;-1;50,04;non motor
9:25:07,48;605968;1982725;-1;49,48;non motor
9:25:07,38;605869;1642872;-1;66,03;non motor
9:25:07,28;605768;1680998;-1;61,96;non motor
9:25:07,18;605668;1619885;-1;62,08;non motor
9:25:07,08;605569;2284160;-1;64,62;non motor
9:25:06,98;605469;2706398;-1;67,01;non motor
9:25:06,88;605368;2148673;59,54;-1;non motor
9:25:06,75;605244;1235847;64,45;61,12;non motor
9:25:06,68;605168;556940;57,44;-1;non motor
9:25:06,58;605068;622947;52,2;-1;non motor
9:25:06,48;604968;234578;51,18;-1;non motor
9:25:06,38;604868;286717;49,99;-1;non motor
9:25:06,28;604768;389764;49,46;-1;non motor
9:25:06,18;604668;363271;49,82;-1;non motor
9:25:06,07;604567;357181;43,25;-1;non motor
9:25:05,98;604467;290020;42,63;-1;non motor
9:25:05,88;604367;271910;38,5;-1;non motor
9:25:05,78;604267;186141;41,26;-1;non motor
9:25:05,68;604168;389642;56,73;-1;non motor
9:25:05,58;604068;415253;56,73;-1;non motor
9:25:05,50;603993;415241;-1;-1;non motor
9:25:05,40;603893;415241;-1;-1;non motor
9:25:05,28;603768;415314;60,8;-1;non motor
9:25:05,20;603693;415302;-1;-1;non motor
9:25:05,10;603593;415273;-1;-1;non motor
9:25:05,00;603493;415282;-1;-1;non motor
9:25:04,90;603393;415256;-1;-1;non motor
9:25:04,80;603293;415284;-1;-1;non motor
9:25:04,70;603193;415320;-1;-1;non motor
9:25:04,60;603093;415310;-1;-1;non motor
