TIME;CH1;CH2;CH3;CH4;CH5
8:14:09,70;321293;396689;-1;-1;motor
8:14:09,60;321193;396660;-1;-1;motor
8:14:09,50;321093;396611;-1;-1;motor
8:14:09,40;320993;396582;-1;-1;motor
8:14:09,30;320893;396581;-1;-1;motor
8:14:09,20;320793;396555;-1;-1;motor
8:14:09,10;320693;396508;-1;-1;motor
8:14:09,00;320593;396517;-1;-1;motor
8:14:08,90;320493;396520;-1;-1;motor
8:14:08,80;320393;396675;-1;-1;motor
8:14:08,67;320269;586478;-1;64,55;motor
8:14:08,57;320168;1431600;-1;55,7;motor
8:14:08,47;320067;823131;-1;41,81;motor
8:14:08,35;319944;404556;70,19;43,56;motor
8:14:08,25;319843;399147;57,2;42,48;motor
8:14:08,15;319742;395491;47,51;45,55;motor
8:14:08,05;319643;394904;45,89;56,97;motor
8:14:07,95;319543;408510;45,5;57,68;motor
8:14:07,85;319442;809689;48,11;40,65;motor
8:14:07,75;319343;1053677;49,7;45,34;motor
8:14:07,65;319242;474949;39;51,62;motor
8:14:07,55;319143;395986;45,91;54,35;motor
8:14:07,45;319044;395866;49,7;63,16;motor
8:14:07,37;318968;395506;49,86;-1;motor
8:14:07,27;318868;395471;51,38;-1;motor
8:14:07,17;318769;395525;64,5;-1;motor
8:14:07,07;318669;395537;71,26;-1;motor
8:14:06,97;318569;395479;79,4;-1;motor
8:14:06,90;318493;395466;-1;-1;motor
8:14:06,80;318393;395493;-1;-1;motor
8:14:06,70;318293;395475;-1;-1;motor
8:14:06,60;318193;395469;-1;-1;motor
8:14:06,50;318093;395522;-1;-1;motor
8:14:06,40;317993;395544;-1;-1;motor
8:14:06,30;317893;395613;-1;-1;motor
8:14:06,20;317793;395619;-1;-1;motor
8:14:06,10;317693;395594;-1;-1;motor
8:14:06,00;317593;395565;-1;-1;motor
