TIME;CH1;CH2;CH3;CH4;CH5
9:45:08,14;245093;389937;-1;-1;motor
9:45:08,04;244993;389927;-1;-1;motor
9:45:07,94;244893;389975;-1;-1;motor
9:45:07,84;244793;389937;-1;-1;motor
9:45:07,74;244693;389869;-1;-1;motor
9:45:07,64;244593;389856;-1;-1;motor
9:45:07,54;244493;389904;-1;-1;motor
9:45:07,44;244393;389855;-1;-1;motor
9:45:07,34;244293;389841;-1;-1;motor
9:45:07,24;244193;389797;-1;-1;motor
9:45:07,12;244070;390019;81,58;-1;motor
9:45:07,02;243969;390579;69,97;-1;motor
9:45:06,92;243868;418166;59,56;-1;motor
9:45:06,82;243768;1048131;56,61;-1;motor
9:45:06,72;243668;1424895;49,67;-1;motor
9:45:06,62;243568;549248;50,7;-1;motor
9:45:06,52;243468;388564;50,68;-1;motor
9:45:06,39;243344;388252;47,68;65,5;motor
9:45:06,29;243243;388400;49,82;57,21;motor
9:45:06,19;243143;388657;45,88;51,59;motor
9:45:06,09;243043;388430;47,08;54,81;motor
9:45:05,99;242943;388085;46,87;50,23;motor
9:45:05,89;242843;389894;49,07;49,32;motor
9:45:05,79;242743;578522;52,55;49,89;motor
9:45:05,69;242643;1002020;58;50,23;motor
9:45:05,59;242543;392149;64,18;47,92;motor
9:45:05,49;242444;388983;68,81;49,31;motor
9:45:05,42;242368;389006;-1;50,75;motor
9:45:05,32;242268;388996;-1;53,46;motor
9:45:05,22;242168;389066;-1;57,09;motor
9:45:05,12;242069;389114;-1;65,38;motor
9:45:05,02;241969;389077;-1;74,33;motor
9:45:04,94;241893;389078;-1;-1;motor
9:45:04,84;241793;389069;-1;-1;motor
9:45:04,74;241693;389060;-1;-1;motor
9:45:04,64;241593;389050;-1;-1;motor
9:45:04,54;241493;389049;-1;-1;motor
9:45:04,44;241393;389063;-1;-1;motor
9:45:04,34;241293;389102;-1;-1;motor
9:45:04,24;241193;389107;-1;-1;motor
9:45:04,14;241093;389082;-1;-1;motor
9:45:04,04;240993;389086;-1;-1;motor
