TIME;CH1;CH2;CH3;CH4;CH5
8:37:46,38;166593;396454;-1;-1;motor
8:37:46,28;166493;396467;-1;-1;motor
8:37:46,18;166393;396452;-1;-1;motor
8:37:46,08;166293;396445;-1;-1;motor
8:37:45,98;166193;396509;-1;-1;motor
8:37:45,88;166093;396528;-1;-1;motor
8:37:45,78;165993;396658;-1;-1;motor
8:37:45,68;165893;395969;-1;-1;motor
8:37:45,58;165793;395575;-1;-1;motor
8:37:45,48;165693;398373;-1;-1;motor
8:37:45,35;165569;587016;-1;66,08;motor
8:37:45,25;165468;879526;-1;56,2;motor
8:37:45,15;165367;499441;-1;44,13;motor
8:37:45,03;165244;405589;72,39;45,72;motor
8:37:44,93;165143;396962;60,97;45,91;motor
8:37:44,83;165043;396637;47,9;50,4;motor
8:37:44,73;164943;447462;45,29;49,89;motor
8:37:44,63;164843;696386;48,48;47,33;motor
8:37:44,53;164743;513302;49,68;52,12;motor
8:37:44,43;164644;400725;50,54;67,5;motor
8:37:44,35;164568;403082;49,68;-1;motor
8:37:44,25;164468;403565;50,54;-1;motor
8:37:44,15;164369;403587;66,03;-1;motor
8:37:44,05;164269;403594;73,38;-1;motor
8:37:43,98;164193;403581;-1;-1;motor
8:37:43,88;164093;403559;-1;-1;motor
8:37:43,78;163993;403527;-1;-1;motor
8:37:43,68;163893;403557;-1;-1;motor
8:37:43,58;163793;403510;-1;-1;motor
8:37:43,48;163693;403537;-1;-1;motor
8:37:43,38;163593;403555;-1;-1;motor
8:37:43,28;163493;403537;-1;-1;motor
8:37:43,18;163393;403517;-1;-1;motor
8:37:43,08;163293;403546;-1;-1;motor
