TIME;CH1;CH2;CH3;CH4;CH5
9:11:16,07;768393;392590;-1;-1;motor
9:11:15,97;768293;392589;-1;-1;motor
9:11:15,87;768193;392573;-1;-1;motor
9:11:15,77;768093;392575;-1;-1;motor
9:11:15,67;767993;392572;-1;-1;motor
9:11:15,57;767893;392604;-1;-1;motor
9:11:15,47;767793;392620;-1;-1;motor
9:11:15,37;767693;392656;-1;-1;motor
9:11:15,27;767593;392477;-1;-1;motor
9:11:15,17;767493;391885;-1;-1;motor
9:11:15,04;767369;405343;-1;69,44;motor
9:11:14,94;767268;768589;-1;53,46;motor
9:11:14,84;767168;417957;-1;59,34;motor
9:11:14,72;767044;393347;71,84;50,73;motor
9:11:14,62;766944;393467;67,54;53,29;motor
9:11:14,52;766843;413256;61,64;49,89;motor
9:11:14,42;766743;765868;55,43;43,94;motor
9:11:14,32;766643;745997;56,29;52,62;motor
9:11:14,22;766543;415480;46,25;61,17;motor
9:11:14,12;766444;393534;48,72;65,96;motor
9:11:14,04;766368;391162;56,6;-1;motor
9:11:13,95;766269;392718;67,25;-1;motor
9:11:13,84;766169;392763;72,36;-1;motor
9:11:13,75;766070;392806;83,43;-1;motor
9:11:13,67;765993;392825;-1;-1;motor
9:11:13,57;765893;392874;-1;-1;motor
9:11:13,47;765793;392865;-1;-1;motor
9:11:13,37;765693;392905;-1;-1;motor
9:11:13,27;765593;392864;-1;-1;motor
9:11:13,17;765493;392916;-1;-1;motor
9:11:13,07;765393;392857;-1;-1;motor
9:11:12,97;765293;392847;-1;-1;motor
9:11:12,87;765193;392835;-1;-1;motor
9:11:12,77;765093;392826;-1;-1;motor
