TIME;CH1;CH2;CH3;CH4;CH5
8:12:57,20;248793;395894;-1;-1;motor
8:12:57,10;248693;395887;-1;-1;motor
8:12:57,00;248593;395955;-1;-1;motor
8:12:56,90;248493;396072;-1;-1;motor
8:12:56,80;248393;396027;-1;-1;motor
8:12:56,70;248293;396019;-1;-1;motor
8:12:56,60;248193;396070;-1;-1;motor
8:12:56,50;248093;395975;-1;-1;motor
8:12:56,40;247993;395555;-1;-1;motor
8:12:56,30;247893;395344;-1;-1;motor
8:12:56,17;247769;395653;-1;70,71;motor
8:12:56,07;247668;564854;-1;56,84;motor
8:12:55,97;247567;740310;-1;43,96;motor
8:12:55,87;247467;418999;-1;41,79;motor
8:12:55,75;247344;391949;68,29;44,95;motor
8:12:55,65;247243;390573;59,73;42,96;motor
8:12:55,55;247142;394048;49,87;38,36;motor
8:12:55,45;247043;449147;47,9;51,28;motor
8:12:55,35;246943;897753;52,6;43,13;motor
8:12:55,25;246842;713076;43,49;48,17;motor
8:12:55,15;246744;407557;59,17;56,7;motor
8:12:55,05;246644;396603;56,78;66,68;motor
8:12:54,97;246568;396115;51,23;-1;motor
8:12:54,85;246444;396040;29,5;92,63;motor
8:12:54,77;246369;396066;69,83;-1;motor
8:12:54,68;246269;396055;77,33;-1;motor
8:12:54,60;246193;396062;-1;-1;motor
8:12:54,50;246093;396063;-1;-1;motor
8:12:54,40;245993;396057;-1;-1;motor
8:12:54,30;245893;396045;-1;-1;motor
8:12:54,20;245793;396064;-1;-1;motor
8:12:54,10;245693;396061;-1;-1;motor
8:12:54,00;245593;396088;-1;-1;motor
8:12:53,90;245493;396069;-1;-1;motor
8:12:53,80;245393;396081;-1;-1;motor
8:12:53,70;245293;396062;-1;-1;motor
