TIME;CH1;CH2;CH3;CH4;CH5
9:02:02,67;214993;389447;-1;-1;motor
9:02:02,58;214893;389452;-1;-1;motor
9:02:02,48;214793;389500;-1;-1;motor
9:02:02,38;214693;389497;-1;-1;motor
9:02:02,28;214593;389478;-1;-1;motor
9:02:02,18;214493;389473;-1;-1;motor
9:02:02,08;214393;389389;-1;-1;motor
9:02:01,97;214293;389461;-1;-1;motor
9:02:01,88;214193;389242;-1;-1;motor
9:02:01,78;214093;389217;-1;-1;motor
9:02:01,65;213968;394533;-1;61,57;motor
9:02:01,55;213868;757932;-1;56,92;motor
9:02:01,45;213768;1189125;-1;47,51;motor
9:02:01,35;213667;519376;-1;46,51;motor
9:02:01,23;213544;388616;72,99;45,91;motor
9:02:01,13;213443;388467;64,02;43,7;motor
9:02:01,03;213343;389087;60,64;47,69;motor
9:02:00,92;213242;392548;48,84;43,1;motor
9:02:00,82;213142;596047;48,26;44,92;motor
9:02:00,73;213042;784423;45,65;46,31;motor
9:02:00,63;212943;439201;49,98;51,74;motor
9:02:00,53;212843;388268;42,86;68,6;motor
9:02:00,43;212744;388330;43,85;71,72;motor
9:02:00,35;212668;388418;47,44;-1;motor
9:02:00,25;212568;388437;53,56;-1;motor
9:02:00,15;212469;388439;67,09;-1;motor
9:02:00,05;212369;388450;77,43;-1;motor
9:01:59,98;212293;388476;-1;-1;motor
9:01:59,88;212193;388475;-1;-1;motor
9:01:59,77;212093;388497;-1;-1;motor
9:01:59,68;211993;388510;-1;-1;motor
9:01:59,58;211893;388561;-1;-1;motor
9:01:59,48;211793;388565;-1;-1;motor
9:01:59,38;211693;388542;-1;-1;motor
9:01:59,28;211593;388597;-1;-1;motor
9:01:59,18;211493;388580;-1;-1;motor
9:01:59,07;211393;388598;-1;-1;motor
