TIME;CH1;CH2;CH3;CH4;CH5
9:11:05,57;757893;392705;-1;-1;motor
9:11:05,47;757793;392675;-1;-1;motor
9:11:05,37;757693;392651;-1;-1;motor
9:11:05,27;757593;392679;-1;-1;motor
9:11:05,17;757493;392585;-1;-1;motor
9:11:05,07;757393;392561;-1;-1;motor
9:11:04,97;757293;392574;-1;-1;motor
9:11:04,87;757193;392318;-1;-1;motor
9:11:04,77;757093;388659;-1;-1;motor
9:11:04,67;756993;381110;-1;-1;motor
9:11:04,55;756869;386187;68,67;-1;motor
9:11:04,44;756768;399755;56,58;-1;motor
9:11:04,34;756668;562661;57,57;-1;motor
9:11:04,24;756567;904721;43,66;-1;motor
9:11:04,12;756444;517457;44,66;70,23;motor
9:11:04,02;756344;398574;48,72;64,54;motor
9:11:03,92;756243;393957;40,1;61,45;motor
9:11:03,82;756142;388165;38,96;43,13;motor
9:11:03,72;756043;824282;50,15;49,32;motor
9:11:03,62;755943;543289;56,58;50,39;motor
9:11:03,52;755843;392637;64,16;37,64;motor
9:11:03,42;755744;393150;68,24;45,93;motor
9:11:03,34;755668;393395;-1;51,76;motor
9:11:03,24;755568;393435;-1;58,5;motor
9:11:03,17;755493;393445;-1;-1;motor
9:11:03,07;755393;393419;-1;-1;motor
9:11:02,97;755293;393430;-1;-1;motor
9:11:02,87;755193;393481;-1;-1;motor
9:11:02,77;755093;393451;-1;-1;motor
9:11:02,67;754993;393383;-1;-1;motor
9:11:02,57;754893;393398;-1;-1;motor
9:11:02,47;754793;393479;-1;-1;motor
9:11:02,37;754693;393518;-1;-1;motor
9:11:02,27;754593;393504;-1;-1;motor
