TIME;CH1;CH2;CH3;CH4;CH5
7:47:57,65;144293;405846;-1;-1;motor
7:47:57,55;144193;405850;-1;-1;motor
7:47:57,45;144093;405851;-1;-1;motor
7:47:57,35;143993;405804;-1;-1;motor
7:47:57,25;143893;405825;-1;-1;motor
7:47:57,15;143793;405796;-1;-1;motor
7:47:57,05;143693;405820;-1;-1;motor
7:47:56,95;143593;405774;-1;-1;motor
7:47:56,85;143493;405606;-1;-1;motor
7:47:56,75;143393;412994;-1;-1;motor
7:47:56,62;143268;754304;-1;63,75;motor
7:47:56,52;143168;1100117;-1;55,89;motor
7:47:56,42;143068;406221;-1;52,32;motor
7:47:56,30;142944;406099;66,1;50,95;motor
7:47:56,20;142843;406075;67,37;33,96;motor
7:47:56,10;142744;405593;57,52;57,56;motor
7:47:56,00;142643;490307;54,66;49,37;motor
7:47:55,90;142542;1111179;41,33;49,77;motor
7:47:55,80;142443;1069550;44,33;59,54;motor
7:47:55,70;142343;463550;42,93;60,52;motor
7:47:55,60;142244;406288;52,12;60,37;motor
7:47:55,50;142144;404820;53,15;63,88;motor
7:47:55,42;142068;406361;56,68;-1;motor
7:47:55,32;141968;407478;62;-1;motor
7:47:55,22;141869;407575;72,75;-1;motor
7:47:55,12;141769;407547;68,77;-1;motor
7:47:55,02;141669;407488;73,01;-1;motor
7:47:54,92;141569;407428;80,06;-1;motor
7:47:54,85;141493;407485;-1;-1;motor
7:47:54,75;141393;407472;-1;-1;motor
7:47:54,65;141293;407475;-1;-1;motor
7:47:54,55;141193;407481;-1;-1;motor
7:47:54,45;141093;407467;-1;-1;motor
7:47:54,35;140993;407432;-1;-1;motor
7:47:54,25;140893;407433;-1;-1;motor
7:47:54,15;140793;407420;-1;-1;motor
7:47:54,05;140693;407450;-1;-1;motor
7:47:53,95;140593;407455;-1;-1;motor
