TIME;CH1;CH2;CH3;CH4;CH5
8:38:25,08;205293;397855;-1;-1;motor
8:38:24,98;205193;397814;-1;-1;motor
8:38:24,88;205093;397789;-1;-1;motor
8:38:24,78;204993;397789;-1;-1;motor
8:38:24,68;204893;397769;-1;-1;motor
8:38:24,58;204793;397775;-1;-1;motor
8:38:24,48;204693;397749;-1;-1;motor
8:38:24,38;204593;397712;-1;-1;motor
8:38:24,28;204493;397714;-1;-1;motor
8:38:24,18;204393;397749;-1;-1;motor
8:38:24,05;204269;397786;70,18;-1;motor
8:38:23,95;204169;397781;67,86;-1;motor
8:38:23,85;204067;397924;45,48;-1;motor
8:38:23,75;203967;424141;44,3;-1;motor
8:38:23,65;203867;1071966;45,29;-1;motor
8:38:23,53;203744;1817326;52,74;73,09;motor
8:38:23,43;203644;710493;49,86;70,76;motor
8:38:23,33;203544;399213;47,28;68,89;motor
8:38:23,23;203442;397897;48,88;45,33;motor
8:38:23,13;203343;397587;49,86;45,33;motor
8:38:23,03;203243;397501;49,86;49,34;motor
8:38:22,93;203143;398751;44,88;51,6;motor
8:38:22,83;203043;569437;47,08;49,89;motor
8:38:22,73;202943;819716;54,11;54,31;motor
8:38:22,63;202844;473780;67,02;51,78;motor
8:38:22,53;202744;397755;70,8;54,31;motor
8:38:22,45;202668;397771;-1;50,92;motor
8:38:22,35;202568;397705;-1;55;motor
8:38:22,25;202468;397627;-1;60,88;motor
8:38:22,15;202369;397642;-1;76,32;motor
8:38:22,08;202293;397652;-1;-1;motor
8:38:21,98;202193;397635;-1;-1;motor
8:38:21,88;202093;397644;-1;-1;motor
8:38:21,78;201993;397645;-1;-1;motor
8:38:21,68;201893;397663;-1;-1;motor
8:38:21,58;201793;397634;-1;-1;motor
8:38:21,48;201693;397627;-1;-1;motor
8:38:21,38;201593;397531;-1;-1;motor
8:38:21,28;201493;397552;-1;-1;motor
8:38:21,18;201393;397565;-1;-1;motor
