TIME;CH1;CH2;CH3;CH4;CH5
9:03:14,87;287193;392131;-1;-1;motor
9:03:14,77;287093;392166;-1;-1;motor
9:03:14,67;286993;392130;-1;-1;motor
9:03:14,57;286893;392039;-1;-1;motor
9:03:14,47;286793;392023;-1;-1;motor
9:03:14,37;286693;392076;-1;-1;motor
9:03:14,27;286593;392131;-1;-1;motor
9:03:14,17;286493;392157;-1;-1;motor
9:03:14,07;286393;392434;-1;-1;motor
9:03:13,97;286293;393622;-1;-1;motor
9:03:13,85;286169;398425;71,91;-1;motor
9:03:13,75;286069;393910;66,4;-1;motor
9:03:13,65;285967;551150;45,24;-1;motor
9:03:13,55;285867;1333420;42,62;-1;motor
9:03:13,45;285767;836659;44,06;-1;motor
9:03:13,35;285667;403527;44,64;-1;motor
9:03:13,23;285543;399009;41,93;64,09;motor
9:03:13,12;285442;393196;44,25;44,32;motor
9:03:13,02;285342;401853;37,35;42,91;motor
9:03:12,92;285242;446506;44,06;43,72;motor
9:03:12,82;285142;743630;40,8;43,3;motor
9:03:12,72;285043;576036;49,8;45,5;motor
9:03:12,63;284943;290691;58,81;41,98;motor
9:03:12,55;284867;381150;-1;42,91;motor
9:03:12,45;284767;390693;-1;42,45;motor
9:03:12,35;284668;390807;-1;56,77;motor
9:03:12,27;284593;390831;-1;-1;motor
9:03:12,18;284493;390859;-1;-1;motor
9:03:12,07;284393;390807;-1;-1;motor
9:03:11,97;284293;390880;-1;-1;motor
9:03:11,87;284193;390862;-1;-1;motor
9:03:11,78;284093;390845;-1;-1;motor
9:03:11,67;283993;390865;-1;-1;motor
9:03:11,58;283893;390937;-1;-1;motor
9:03:11,47;283793;390942;-1;-1;motor
9:03:11,37;283693;390952;-1;-1;motor
