TIME;CH1;CH2;CH3;CH4;CH5;;;
7:46:16,75;43393;403511;-1;-1;motor;;;
7:46:16,65;43293;403533;-1;-1;motor;;;
7:46:16,55;43193;403528;-1;-1;motor;;;
7:46:16,45;43093;403507;-1;-1;motor;;;
7:46:16,35;42993;403501;-1;-1;motor;;;-1
7:46:16,25;42893;403517;-1;-1;motor;;;
7:46:16,15;42793;403585;-1;-1;motor;;;
7:46:16,05;42693;403442;-1;-1;motor;;;
7:46:15,95;42593;403125;-1;-1;motor;;;
7:46:15,85;42493;403841;-1;-1;motor;;;
7:46:15,72;42368;575187;-1;56,72;motor;;;
7:46:15,62;42268;1447260;-1;59,37;motor;;;
7:46:15,52;42168;1042666;-1;56,85;motor;;;
7:46:15,42;42068;429465;-1;52,82;motor;;;
7:46:15,30;41944;403776;72,3;52,5;motor;;;
7:46:15,20;41844;403884;66,37;54,69;motor;;;
7:46:15,10;41743;404878;62,29;38,81;motor;;;
7:46:15,00;41644;404242;61,17;57,98;motor;;;
7:46:14,90;41543;401408;57,25;49,94;motor;;;
7:46:14,80;41443;402486;56,2;49,77;motor;;;
7:46:14,70;41342;399888;43,13;51,81;motor;;;
7:46:14,60;41243;399188;42,7;56,85;motor;;;
7:46:14,50;41143;1249083;43,13;58,69;motor;;;
7:46:14,40;41044;1027660;56,84;62,87;motor;;;
7:46:14,30;40944;473608;53,47;63,76;motor;;;
7:46:14,20;40844;413050;53,99;67,69;motor;;;
7:46:14,10;40744;404325;53,32;66,56;motor;;;
7:46:14,02;40668;404044;56,03;-1;motor;;;
7:46:13,92;40568;403980;57,38;-1;motor;;;
7:46:13,82;40468;403502;60,47;-1;motor;;;
7:46:13,72;40369;403399;64,42;-1;motor;;;
7:46:13,62;40269;403435;68,62;-1;motor;;;
7:46:13,52;40169;403460;72,29;-1;motor;;;
7:46:13,42;40069;403418;73,45;-1;motor;;;
7:46:13,33;39969;403394;76,23;-1;motor;;;
7:46:13,23;39870;403387;82,22;-1;motor;;;
7:46:13,15;39793;403404;-1;-1;motor;;;
7:46:13,05;39693;403417;-1;-1;motor;;;
7:46:12,95;39593;403395;-1;-1;motor;;;
7:46:12,85;39493;403375;-1;-1;motor;;;
7:46:12,75;39393;403375;-1;-1;motor;;;
7:46:12,65;39293;403400;-1;-1;motor;;;
7:46:12,55;39193;403412;-1;-1;motor;;;
7:46:12,45;39093;403419;-1;-1;motor;;;
7:46:12,35;38993;403393;-1;-1;motor;;;
7:46:12,25;38893;403381;-1;-1;motor;;;
