TIME;CH1;CH2;CH3;CH4;CH5
8:54:35,78;1173993;397958;-1;-1;motor
8:54:35,68;1173893;398018;-1;-1;motor
8:54:35,58;1173793;398034;-1;-1;motor
8:54:35,49;1173693;397989;-1;-1;motor
8:54:35,38;1173593;397989;-1;-1;motor
8:54:35,28;1173493;397983;-1;-1;motor
8:54:35,18;1173393;397978;-1;-1;motor
8:54:35,08;1173293;397965;-1;-1;motor
8:54:34,98;1173193;397921;-1;-1;motor
8:54:34,89;1173093;398091;-1;-1;motor
8:54:34,76;1172969;412561;-1;71,65;motor
8:54:34,66;1172868;915071;-1;59,48;motor
8:54:34,56;1172768;1404603;-1;49,51;motor
8:54:34,46;1172668;561506;-1;46,92;motor
8:54:34,33;1172544;397220;71,22;49,53;motor
8:54:34,23;1172444;396795;60,8;51,59;motor
8:54:34,14;1172343;396694;56,13;50,06;motor
8:54:34,04;1172243;395877;46,87;56,68;motor
8:54:33,94;1172142;452513;44,47;50,06;motor
8:54:33,84;1172043;1022150;48,26;49,51;motor
8:54:33,73;1171943;980688;49,82;51,93;motor
8:54:33,63;1171844;437241;47,45;68,75;motor
8:54:33,56;1171768;397461;49,99;-1;motor
8:54:33,46;1171667;397531;46,46;-1;motor
8:54:33,36;1171568;397507;50,16;-1;motor
8:54:33,26;1171469;397487;64,16;-1;motor
8:54:33,18;1171393;397509;-1;-1;motor
8:54:33,09;1171293;397520;-1;-1;motor
8:54:32,98;1171193;397496;-1;-1;motor
8:54:32,88;1171093;397506;-1;-1;motor
8:54:32,79;1170993;397485;-1;-1;motor
8:54:32,69;1170893;397445;-1;-1;motor
8:54:32,58;1170793;397472;-1;-1;motor
8:54:32,48;1170693;397480;-1;-1;motor
8:54:32,38;1170593;397520;-1;-1;motor
8:54:32,28;1170493;397512;-1;-1;motor
