TIME;CH1;CH2;CH3;CH4;CH5
9:43:10,74;127693;381885;-1;-1;motor
9:43:10,64;127593;381921;-1;-1;motor
9:43:10,54;127493;381948;-1;-1;motor
9:43:10,44;127393;381935;-1;-1;motor
9:43:10,34;127293;381884;-1;-1;motor
9:43:10,24;127193;381905;-1;-1;motor
9:43:10,14;127093;381864;-1;-1;motor
9:43:10,04;126993;381470;-1;-1;motor
9:43:09,94;126893;381886;-1;-1;motor
9:43:09,84;126793;379911;-1;-1;motor
9:43:09,72;126669;369312;-1;65,92;motor
9:43:09,62;126568;374307;-1;61,71;motor
9:43:09,52;126468;378505;-1;56,37;motor
9:43:09,42;126368;381166;-1;52,44;motor
9:43:09,32;126268;382997;-1;46,91;motor
9:43:09,22;126167;1687820;-1;44,3;motor
9:43:09,12;126067;1681019;-1;45,12;motor
9:43:08,99;125943;563977;64,3;45,31;motor
9:43:08,89;125843;382196;62,2;45,52;motor
9:43:08,79;125743;382829;63,73;46,31;motor
9:43:08,69;125643;385430;59,12;45,12;motor
9:43:08,59;125543;386715;56,73;48,72;motor
9:43:08,49;125443;379975;53,92;43,51;motor
9:43:08,39;125342;381786;53,75;36,48;motor
9:43:08,29;125242;383456;49,67;32,1;motor
9:43:08,19;125143;384600;44,45;58,21;motor
9:43:08,09;125043;379914;41,73;54,3;motor
9:43:07,99;124942;370128;41,71;46,32;motor
9:43:07,89;124842;368234;43,85;46,51;motor
9:43:07,79;124742;368383;41,95;47,52;motor
9:43:07,69;124642;368389;36,43;49,51;motor
9:43:07,59;124542;380564;36,44;51,07;motor
9:43:07,49;124442;389167;28,61;53,8;motor
9:43:07,39;124342;650057;30,77;56,53;motor
9:43:07,29;124242;1367095;31,02;58,21;motor
9:43:07,19;124142;1081216;31,02;60,3;motor
9:43:07,09;124043;455597;36,2;65,65;motor
9:43:06,99;123943;381348;46,25;65,22;motor
9:43:06,92;123867;380322;45,05;-1;motor
9:43:06,82;123767;382037;43,66;-1;motor
9:43:06,72;123667;383179;43,66;-1;motor
9:43:06,62;123567;385512;46,27;-1;motor
9:43:06,52;123467;384556;45,86;-1;motor
9:43:06,42;123367;381151;45,86;-1;motor
9:43:06,32;123267;385468;46,85;-1;motor
9:43:06,22;123168;393531;48,26;-1;motor
9:43:06,12;123068;383942;49,99;-1;motor
9:43:06,02;122968;381933;53,58;-1;motor
9:43:05,92;122868;381968;56,58;-1;motor
9:43:05,82;122768;382011;59,97;-1;motor
9:43:05,72;122668;381990;61,36;-1;motor
9:43:05,62;122569;381985;65,56;-1;motor
9:43:05,52;122469;381967;66,7;-1;motor
9:43:05,44;122393;381974;-1;-1;motor
9:43:05,34;122293;381991;-1;-1;motor
9:43:05,24;122193;381995;-1;-1;motor
9:43:05,14;122093;382052;-1;-1;motor
9:43:05,04;121993;382011;-1;-1;motor
9:43:04,94;121893;382011;-1;-1;motor
9:43:04,84;121793;382004;-1;-1;motor
9:43:04,74;121693;382016;-1;-1;motor
9:43:04,64;121593;382025;-1;-1;motor
9:43:04,54;121493;381988;-1;-1;motor
