TIME;CH1;CH2;CH3;CH4;CH5
8:54:15,89;1154093;396532;-1;-1;motor
8:54:15,78;1153993;396486;-1;-1;motor
8:54:15,68;1153893;396457;-1;-1;motor
8:54:15,59;1153793;396416;-1;-1;motor
8:54:15,48;1153693;396412;-1;-1;motor
8:54:15,38;1153593;396377;-1;-1;motor
8:54:15,28;1153493;396365;-1;-1;motor
8:54:15,19;1153393;396369;-1;-1;motor
8:54:15,09;1153293;396526;-1;-1;motor
8:54:14,98;1153193;396757;-1;-1;motor
8:54:14,86;1153069;550866;-1;67,9;motor
8:54:14,76;1152968;1274879;-1;56,8;motor
8:54:14,66;1152868;794552;-1;48,52;motor
8:54:14,54;1152744;401014;78,62;48,11;motor
8:54:14,44;1152644;395335;63,18;52,26;motor
8:54:14,34;1152543;395219;54,23;50,04;motor
8:54:14,24;1152442;395085;47,27;47,71;motor
8:54:14,14;1152342;456771;48,05;46,1;motor
8:54:14,03;1152243;912112;49,99;48,71;motor
8:54:13,94;1152143;718308;53,22;52,6;motor
8:54:13,84;1152044;395798;49,82;70,13;motor
8:54:13,74;1151944;396031;51,52;71,46;motor
8:54:13,66;1151868;396028;52,03;-1;motor
8:54:13,56;1151768;395998;57,86;-1;motor
8:54:13,46;1151669;395926;73,06;-1;motor
8:54:13,38;1151593;395959;-1;-1;motor
8:54:13,29;1151493;395904;-1;-1;motor
8:54:13,19;1151393;395839;-1;-1;motor
8:54:13,08;1151293;395854;-1;-1;motor
8:54:12,98;1151193;395826;-1;-1;motor
8:54:12,89;1151093;395770;-1;-1;motor
8:54:12,78;1150993;395735;-1;-1;motor
8:54:12,68;1150893;395687;-1;-1;motor
8:54:12,59;1150793;395681;-1;-1;motor
8:54:12,49;1150693;395667;-1;-1;motor
