TIME;CH1;CH2;CH3;CH4;CH5
8:53:09,47;1089693;389467;-1;-1;motor
8:53:09,37;1089593;389460;-1;-1;motor
8:53:09,27;1089493;389477;-1;-1;motor
8:53:09,17;1089393;389465;-1;-1;motor
8:53:09,07;1089293;389458;-1;-1;motor
8:53:08,97;1089193;389483;-1;-1;motor
8:53:08,87;1089093;389524;-1;-1;motor
8:53:08,77;1088993;389279;-1;-1;motor
8:53:08,67;1088893;389913;-1;-1;motor
8:53:08,57;1088793;403073;-1;-1;motor
8:53:08,44;1088669;738989;-1;71,12;motor
8:53:08,34;1088568;815825;-1;63,85;motor
8:53:08,24;1088468;419781;-1;50,4;motor
8:53:08,12;1088345;388029;86,09;49,72;motor
8:53:08,02;1088244;389055;66,97;51,24;motor
8:53:07,92;1088143;389323;49,25;53,97;motor
8:53:07,82;1088042;451972;44,85;44,11;motor
8:53:07,72;1087943;773607;49,46;49,87;motor
8:53:07,62;1087843;542185;48,74;52,44;motor
8:53:07,52;1087743;377939;44,06;56,8;motor
8:53:07,42;1087644;322042;46,46;67,62;motor
8:53:07,34;1087568;363529;48,26;-1;motor
8:53:07,24;1087468;387635;55,26;-1;motor
8:53:07,14;1087369;387641;68,93;-1;motor
8:53:07,07;1087293;387606;-1;-1;motor
8:53:06,97;1087193;387635;-1;-1;motor
8:53:06,87;1087093;387637;-1;-1;motor
8:53:06,77;1086993;387642;-1;-1;motor
8:53:06,66;1086893;387620;-1;-1;motor
8:53:06,57;1086793;387596;-1;-1;motor
8:53:06,47;1086693;387563;-1;-1;motor
8:53:06,37;1086593;387590;-1;-1;motor
8:53:06,27;1086493;387594;-1;-1;motor
8:53:06,17;1086393;387623;-1;-1;motor
