TIME;CH1;CH2;CH3;CH4;CH5
9:44:54,14;231093;388570;-1;-1;motor
9:44:54,04;230993;388596;-1;-1;motor
9:44:53,94;230893;388595;-1;-1;motor
9:44:53,84;230793;388585;-1;-1;motor
9:44:53,74;230693;388566;-1;-1;motor
9:44:53,64;230593;388557;-1;-1;motor
9:44:53,54;230493;388578;-1;-1;motor
9:44:53,44;230393;388507;-1;-1;motor
9:44:53,34;230293;388477;-1;-1;motor
9:44:53,24;230193;388349;-1;-1;motor
9:44:53,12;230068;404643;-1;56,8;motor
9:44:53,02;229968;939729;-1;54,31;motor
9:44:52,92;229868;667871;-1;47,52;motor
9:44:52,79;229743;388590;63,47;43,92;motor
9:44:52,69;229644;387765;76,47;45,72;motor
9:44:52,59;229543;387498;60,52;43,53;motor
9:44:52,49;229443;387508;57,32;45,7;motor
9:44:52,39;229342;387511;48,26;46,72;motor
9:44:52,29;229242;388008;43,87;48,33;motor
9:44:52,19;229142;430001;44,45;45,1;motor
9:44:52,09;229042;857988;44,47;50,04;motor
9:44:51,99;228943;890375;45,67;56,17;motor
9:44:51,89;228843;438772;43,66;60,73;motor
9:44:51,82;228767;389109;45,65;-1;motor
9:44:51,72;228668;389360;49,99;-1;motor
9:44:51,62;228568;388968;52,22;-1;motor
9:44:51,52;228468;388931;56,13;-1;motor
9:44:51,42;228368;388973;63,47;-1;motor
9:44:51,34;228293;388973;-1;-1;motor
9:44:51,24;228193;388984;-1;-1;motor
9:44:51,14;228093;388958;-1;-1;motor
9:44:51,04;227993;389004;-1;-1;motor
9:44:50,94;227893;389069;-1;-1;motor
9:44:50,84;227793;389062;-1;-1;motor
9:44:50,74;227693;389024;-1;-1;motor
9:44:50,64;227593;389052;-1;-1;motor
9:44:50,54;227493;389098;-1;-1;motor
9:44:50,44;227393;389063;-1;-1;motor
